Id,ProductId,Score,Summary,Text,Sentimiento
67335,B004JRXZKM,1,Miracle Noodes Definately a DONT!,"So I have been on HCG and wanted something to eat as a filler to replace pasta. And while I knew these noodles weren't going to be exactly like pasta, I found out they don't even come close!  So to begin, they smell really nasty when you first open the bag but once you clean and blanch them they don't really have a smell or taste.  My problem was the texture.  Absolutely nasty and gross!  I wouldn't recommend these for the faint of heart!",Negativo
67463,B0000DIPJA,3,"High expectations, but a little disappointed in the long run","Well, I must say that after reading the description for this product I was really looking forward to trying it.  First off, the fragrance of strawberries was very strong and it is one of the most unusual flavors I have ever experienced.  In the long term, however, I found the green peppercorn flavor to be overpowering and I did not want to go back to have more chocolate since all I could think about was the green peppercorn.  Hope this helps.  It is definitely interesting and worth trying once, although I won't buy it again.",Neutral
67642,B007OXJK3Y,1,Attention Chocolate Connoisseurs: Avoid Like The Plague!,"I should start off by saying that I have never understood the appeal of artificial chocolate flavoring.  Even when I was a kid and a total junk food junkie, the things that were artificially flavored chocolate always tasted strange.<br /><br />Fast forward to my life as an adult and I find that neither has the technology behind artificial chocolate flavoring improved, nor my opinion of it. It still has a subtle (and sometimes, not-so-subtle) metallic taste and an obvious artificial one. So do many artificial flavorings, but most seem to replicate the real thing about 75-80% of the time. Not so with artificial chocolate.<br /><br />So then, it will come as no surprise that this K-Cup variety is equally disappointing. Imagine the most mass-produced chocolate doughnut with a laundry list of ingredients (and unpronounceable ones at that) and one pretty much has the taste of this coffee flavor---at best.  It's not the worst chocolate flavored coffee I have ever had, but when most are pretty bad, that's not saying much.<br /><br />For the life of me, I can't understand the reviews of other incarnations of this product which claim that it's ""like licking the frosting off a chocolate donut"" or ""tastes like adding chocolate syrup to your coffee"". No, and no!  It's also a far cry from ""cafe mocha"", as well.  Come to my house and I will make you a K-Cup of coffee with real chocolate and you can have a far superior cafe mocha experience.<br /><br />It tastes little like a doughnut, a chocolate doughnut, and nothing like chocolate doughnut glaze and marginally like chocolate at all.  If you are a fan of products from companies like Ghirardelli or Lindt, I will guarantee that you will be disappointed at best and disgusted at worst.<br /><br />I received this flavor as part of a sampler from the manufacturer's [GMCR] mail order program, and fortunately only received one K-Cup, as I would never place a full order for this flavor.  I kept hoping it would get better, but such was not the case. It was all I could do to finish the cup of coffee and not throw it out.",Negativo
67643,B007OXJK3Y,1,Stay Away Unless You Like The Taste Of Bug Spray!!!,I don't know who does the taste testing for this company but none of their flavor coffee tastes anything like what they advertise. This product does not taste anything like a chocolate glaze donut. Taste more like bug spray.<br />Stay away,Negativo
67677,B007OXJK3Y,2,Flavored coffee,"If you like flavored coffee, this is okay.  It does have the smell and flavor of a chocolate donut.  It is not very strong or robust.  I tried this out of curiosity.  I would not order it again, but then I like a rich robust coffee.",Negativo
67847,B000G6MBUA,3,burnt,These bags had a lot of overcooked brown pieces. also felt very greasy. Had to keep wiping my fingers on a napkin.,Neutral
67848,B000G6MBUA,3,"Gaaak!  An ""extreme"" potato chip...!","The first time I tried these, I thought, ""WOW!"" but I quickly found they were just too darn spicy and tart... Hard to enjoy the potato-chippiness of them when your mouth is under seige.",Neutral
67854,B000G6MBUA,3,Not the Best,"These chips are okay.  Personally, I find the flavor combination on a greasy chip to be somewhat strange.  They're not necessarily bad but they're the kind of chip where you're only going to be able to have three of four chips before the flavor loses its novelty.",Neutral
68021,B000M5NKUK,2,Leaves an after-taste,I applied this rub onto a pork shoulder and let it sit overnight in the fridge. I smoked it for 10 hours the next day and the meat turned out fabulously. The rub gave a definite spice to the shoulder but I found it heavy on the paprika and somewhat sour with an after-taste. The ingredients were very straightforward and pretty much what you find in almost all of the rub recipes online but I think I'd prefer a little sweetness to complement the meat.  Next time I'll try mixing my own spices but it'd be handier to have everything pre-mixed.,Negativo
68238,B003EM7J9Q,1,Hard To Cook,"I don't know if I got a bad batch or something, but I could'nt get these to cook right. I followed the instructions and after about two minutes, the bag stoped expanding. I opened it and found everything badly burnt. the next bag I waited about one and a half minutes. I opened it and found half the chips uncooked. I never could find a time that either left some uncooked or some burnt. (I shook the bags and scattered the chips inside them well before microwaving each time)",Negativo
68276,B003EM7J9Q,5,Good snack,"I have also tried the regular Lowrey's microwavable rinds, and both are good!  I love that they can sit on the shelf for weeks and then be microwaved quickly into a warm snack.  The hot and spicy isn't overdone - there is some heat, but you can still taste the rinds.  The heat is just enough to slow you down so you don't consume the whole bag in less than five minutes.<br /><br />I also love to hear the crackle sound when you pull them from the microwave.  It adds to the experience.  :)",Positivo
68326,B003EM7J9Q,2,Not what I expected.,The taste was a little off to me and like with microwave popcorn not all of the bacon skins developed. Some were still very hard on the ends and others not developed at all. I bought a box of these so I tried to perfect the technique several times with not much better outcomes. All in all I will stick with the ready to go variety offered by Frito Lay and Mission.,Negativo
68331,B003EM7J9Q,1,Don't waste your money !!!!!,"Horrible ""hemical"" taste.Extremely salty !!!!!!<br /><br />This was a complete waste of money,after the first bag I will have to throw the whole box away !!!!!!!!",Negativo
68332,B003EM7J9Q,1,horrid,"I tried to ""cook"" 6 different bags of these.  Only a fraction of product ""popped up"".  The ones that managed to pop tasted overly salty and had an unusual flavor.  Unfortunately, they were not returnable, so the rest will be going to the trash.  Waste of $$$.",Negativo
68359,B003EM7J9Q,2,What about health?,"I considered buying these but the health risks should be considered.<br /><br />These are cured, stored with salt, and have nitrates.<br /><br />If you look on the american cancer society web site you will see that those are cancer causing concerns.<br /><br />you can still eat well when avoiding such things.",Negativo
68362,B003EM7J9Q,5,Wonderful fresh,"These Lowrey's Bacon Curls are wonderful.  They are so fresh, great tasting.  Have found however that cooking them in the bag doesn't work very well, so we spread them out in a single layer and heat for 5:30 minutes in a 1000 watt microwave.  Will be ordering them again.",Positivo
68832,B000H7ELTM,2,"Small berries, way to much oil used to prevent caking.","I have been eating dried blueberries for years.  I mostly buy them from the grocer in smaller portion bags.  I thought I was getting a deal buying these.<br /><br />The blue berries in this pack are very small, yes blue berries are small berries but the berries used by Traverse are extremely small compared to other brands.  The size of the berries was not my main issue with the content of the package I bought.  All berries come with a small amount of oil added to prevent caking.  Traverse uses way to much oil to the point where the flavor of the berries is effected by it.<br /><br />These berries did not taste like the blue berries I had purchased before, all I could taste was the oil.  The berries resembled and tatsed like dried and oiled olives except much smaller.  I did not enjoy them and if I did not toss out the packaging I would of returned them.<br /><br />I would recommend going with a different brand, if not then buy the smaller package first as so you can make sure you like them before spending $50+ dollars on the larger package such as this one.",Negativo
68918,B009IAUEOU,1,Don't bother!!,"I was very unimpressed with these almonds.  They are very clovey and have a musty taste.  If you are expecting a sweet treat, you won't get it with these almonds.  Save your money and make your own!",Negativo
68949,B0018KR8V0,5,YUM!,"I'm off gluten and trying to wean myself off dairy as well.  Larabar pecan pie has no gluten or dairy, and it actually tastes great!  The bars are 1.6 ounces, which I find just the right size for a snack.  The pecan flavor is sweet, but not too sweet, and the bar has a nice balance between soft and crunchy. There are 220 calories in each bar, and 130 of them are fat calories, but this is FAR healthier for you than any candy bar.  Ingredients are dates, pecans, and almonds- amazingly simple!<br /><br />Highly recommended.",Positivo
68965,B0018KR8V0,3,Ok Bar,"Unlike the Cherry Pie which is great and really taste like cherry pie, this is more of a lime flavored almond bar. Not bad, but not great.",Neutral
69308,B0018KR8V0,1,Amazon larabars taste stale and dry!,"I've gotten this flavor larabar from the grocery store and loved it. In fact, that was the reason why I purchased it from Amazon - because the cost per unit is so much lower. The peanut butter cookie bar from the grocery store was moist and delicious. The bars I received from Amazon taste stale. They're dry and crumbly. The expiration date is not until 2013 so I don't understand why they would be this way but they are. I won't be reordering any more Larabars from Amazon!",Negativo
69495,B000EDBQ4M,1,"Variable results, great to YUCKY - Quality control issues???","So, I made these cookies a few weeks ago and they were really good.  In fact, I got an upset stomach from eating so much dough and only ended up with a few fabulous cookies.  So I bought some more.  I smelled the beans as soon as I opened the package, that beaney smell that some GF flours have, and while I didn't remember that from last time I figured it would go away when mixed and cooked.  So I mixed in the rest of the ingredients, and the smell got a bit worse, and the texture seemed all wrong.  I tasted the dough (you must be thinking that I'm an idiot by now doing this, but I really wanted some cookies to go with today's snowstorm!), and YUCK.  5 minutes later I still have a bad, metallic taste in my mouth.  Seriously, like these are contaminated with metals or something.  I am going to throw away the cookies that are baking.  They look all wrong... like meringue, not like chocolate chip cookies, nothing like the batch two weeks ago.  It's really weird.  Two completely different experiences with the same product in less than a month.  This batch of cookies is a failure of 4 of 5 senses: smell, sight, taste, and texture.  I'm glad I can't hear cookies.  There are some serious quality control issues here, that are probably the root of the range of opinions in these ratings.  I think I need to contact Bob.  Too bad for him I didn't review this product two weeks ago.",Negativo
69634,B003CK7O36,1,Not like chai at all!!,"I'm looking for a really good chai to make at home. This had good reviews and my local grocery store actually carried it. I brought it home, made a cup and literally couldn't drink it. I had to put 3 tsp the sugar in it and extra cream to even be able to take a few sips. And thats reslly saying domething because i usually take little to no sugar in my tea. I actually like bitter black tea. This chai by stash isn't bitter so much as just plsin bad. I love chai and used to order loose leaf ( at a high price) from a place online that doesn't have it anymore. I guess you get what you pay for. This tea has a terrible after taste i can't begin to describe. Like dirt or sour cinnamon. I like both cinnamon and cloves so i'm not sure my complaint is the same as other reviewers. It really tastes like old bitter, sour, cheap spices to me! Glad i got this on sale at the store rather than wasted money ordering here. This box willbe going to work, annonously so no one knows it's from me! Or perhaps i should just throw it out. Don't like to be wasteful but I can't bear the thought of drinking a whole box of this!",Negativo
69668,B003CK7O36,2,Peach Tea,"We found very little peach flavor in this ""peach tea"".  It is a poor substitute for Twinings.",Negativo
69834,B0015DJ1EM,4,My Favorite Gum,This is my very favorite chewing gum but is no longer available in any retail outlets that I can find. Amazon is the only place I can find it.,Positivo
69941,B00375LBPS,1,Overpriced,You can buy the same bag of chocolate at any Michaels store for $2.99.  I got a ton of bags on sale for $1.99 there!  Don't waste your money or your time waiting for this bag,Negativo
69951,B00032BG3K,5,DID I FORGET TO MENTION? -- IT TASTES GOOD TOO!!!,"""Kretschmer Original Toasted Wheat Germ"" is one of the healthiest and tastiest foods you have available at your local grocery. When you read the label, you see a lot of nutrition and few calories for just 2 tablespoons. But much of what wheat germ has is not on the label. For instance, it promotes gentle regularity and is an excellent source of chromium, selenium, and other trace minerals. It is also a balanced package of protein, carbohydrates and fat, without saturated fat. It promotes heart health and provides an energetic feeling. Mixed with vitamin C, some people use it as a very effective antihistamine without side effects.<br /><br />Since 1982, I have incorporated ""Kretschmer Original Toasted Wheat Germ"" into my daily diet. The easiest ways to achieve this are as follows:<br /><br />1] Adding to cold cereal, oatmeal, yogurt, soups, homemade bread, puddings, macaroni and cheese, applesauce and literally anything you want that has sufficient moisture.<br /><br />2] Substituting wheat germ for bread crumbs in meatloaf, veal/ chicken cutlets, or any fried batter.<br /><br />Kretschmer's Wheat Germ comes toasted in a vacuum-sealed bottle which makes it a very stable and fresh product. It even has an expiration date printed across the top of the bottle in plain sight. Raw wheat germ from the health food store tastes awful, turns rancid sometimes before you buy it, and is usually poorly packaged.<br /><br />This ""Kretschmer Original Toasted Wheat Germ"" gets a 5 for nutrition, ease of use, packaging, and value which makes Kretschmer's Wheat Germ hard to beat. Oh, I forget to mention --IT TASTES GOOD TOO!<br /><br />DOWNSIDE: This 12 ounce package costs only $1.00 less than the 20-ounce package and should be passed by when the 20-ounce size is available. Sometimes the 20-ounce size is out of stock or absent from store shelves so check first.",Positivo
70068,B007I7Z3Z0,3,"Yes from me, No from my husband",Have to give it 3 stars as I thought it wasn't bad but my husband hated the after taste. It does have a little bit of an after taste but I didn't think it was too bad. My husband disagreed. So if you want something different than plain water or soda give this a try.,Neutral
70165,B007I7Z3Z0,3,"Great taste, very sweet, but hard to dissolve","This has a very nice taste. Fruity but with the tea behind it. Though it tastes a bit more like fruit flavored with tea then the reverse. I quite liked it. I drink a lot of these types of beverages so have tasted quite a few of them. I did find it hard to dissolve in cold water. If you have ice in it then it is even harder to dissolve so I recommend water first, add packet, dissolve, then add ice. I found that I only needed half the packet to get the flavor and taste I liked. This is unlike some other drinks where the whole packet in a bottle or container of water is required. It is very sweet and fairly strong. I did not find any bad or bitter taste as can sometimes happen with decaffienated beverages. If it dissolved better it would have had a higher rating. I don't like getting chunks of the powder through my straw as its a bit shocking!",Neutral
70223,B007I7Z3Z0,2,"Yes, I prefer brewed iced tea, but this just tastes nasty","Decided to try this on the Vine.<br />It tastes like weak strawberry flavored koolaid.  It would even be better if mixed with soda water to give it some kind of soft drink appeal.  I tried serving it to the rest of my family including kids and not a single glass was more than half consumed.  Save your money and try another kind/flavor.  I keep 'sticks' of lemonade flavored Crystal Light in my purse.  This is so disappointing in comparison.<br /><br />You wouldn't expect green tea to taste strong like black tea, but the tea in this drink is virtually flavorless.<br /><br />Bottom line:  wouldn't buy it again.",Negativo
70313,B007I7Z3Z0,1,MISLEADING- contains artificial sweeteners,"I bought this product because I dislike the taste of artificial sweeteners, so I thought this would taste better than other low-calorie powdered drink mixes such as Crystal Light.  However, as soon as I tasted it I knew there was ""fake sugar"" in it- I could taste the artificial sweetener but could not taste the honey at all.  I turned the package over and sure enough, one of the listed ingredients was sucralose, which is found in Splenda.  I think the label is a bit misleading because it gives the impression that only honey is used to sweeten the product which is not the case.  The box says it does not contain aspartame, which is true, but sucralose is not much better for you and still has an artificial taste.  I didn't like this so I wouldn't buy it again, and truthfully, I would rather buy this product if it was sweetened with ONLY honey or real sugar, even if that meant it had more calories.  A spoonful of sugar only has about 20 calories- if they put one spoonful per pack and each pack makes two glasses of beverage, it would still be a low-calorie drink, it would taste better and would be more natural.",Negativo
70321,B007I7Z3Z0,3,OK,"Lipton iced tea has always been my preferred glass during the hot summer months. This new iced tea by Lipton is just okay it is not really what I would call my preferred tea. I'm not sure if it is the honey or the strawberry but it has a funny aftertaste in my mouth. It definitely is a required taste that would take time to get used to, after one has acquired this case it might be very tasty, however I'm not much for a sweet tea. I have drank raspberry iced teas and have liked them but they to are an acquired taste. If you like flavored iced tea this is the tea for you!<br /><br />Try this iced tea at your own risk.",Neutral
70333,B007I7Z3Z0,3,mixed reviews from my family,"I got this for my husband who loves green tea.  I would love to not be constantly purchasing all the big jugs, and the idea of having something that generates less trash is incredibly appealing.<br /><br />Unfortunately, he thought there were ""too many different flavors"" in this, and he suggested I let the kids have the rest of the box.  He also complained about a funny aftertaste.  I chalked it up to him just being picky.<br /><br />The kids liked the flavor.  Their complaint was that it is pretty much impossible to mix in a glass (in a water bottle it was easy though).  And they also complained of a funny aftertaste.<br /><br />With all of that, though, they did continue to ask for more until the box was empty.<br /><br />So, mixed reviews from my family.",Neutral
70558,B000FNB3AI,1,Not remotely worth the calories,"I am wheat, gluten, and dairy-free and generally avoid packaged and processed foods, but there are a number of tasty, safe, gluten-free products out there. This is not one of them. I detest these cookies. The texture is awful. Dry. Like eating a cake made of sand. Save yourself and eat a piece of fruit instead.",Negativo
70815,B000E4ALGU,3,These Are *NOT* Soy-Free,"FYI, for those of you on the GFCF diet, these aren't soy-free (if you are watching soy too).<br /><br />They're yummy though!<br /><br />Tori<br />http://gfcfblog.blogspot.com",Neutral
70833,B000CQ4D3C,3,"Easy, Could Use More Flavor","I actually prefer the taste of the Gluten-Free Mac and Cheese, which is not instant, but has more flavor. The kids are eating this, though, which is a good sign. It is effortless with convenient packaging.",Neutral
70850,B005POQN84,5,God of coffee,"I don't know what happened to my review, it disappeared....<br /><br />Anywho, here it is again.<br /><br />I consider myself a coffee snob by all accounts as I've worked in F&B for catering companies and hotels and I have tasted more coffee than anyone can imagine.  I get to sample so many types of coffees and this is by far the best coffee ever.  I was turned on to Arabica coffee on a visit to Dubai at one of their hotels.  If I ever open another restaurant, I will definitely be using this coffee as my house coffee!  God almighty, stop reading and go get some!",Positivo
70943,B005EX6MUU,3,Just ok,"These are just OK.... was expecting better from Cat. The flavor is good, not great. Unlike other reviews, I have not found the olives to be particularly firm.  Perhaps the pitted olives are better?  Probably won't buy again.",Neutral
71052,B000F4D5JE,3,Acceptable,"My kids thought they tasted awful. (Which is strange, as they love gummy vitamins.) They are quite pricey & have a strange consistancy. *I* liked them (the taste)... my kids couldn't get past the ""feel""... If you've tried Gerber's graduates Fruit snacks.. these taste very similar... Great alternative for those on the GFCF diet... I wouldn't buy them again...",Neutral
71088,B004IN7CJ2,3,Wheat and Corn Free Cat Food,"The food itself contains good ingredients.<br /><br />I was checking out different dry cat foods because my cat may be allergic or have some sensitivity to certain foods, mostly wheat.<br /><br />The only problem is that my cat is very selective of what she eats and when I mixed this with her food, she sniffed out what she wanted to eat. I tried giving this to her by itself and she sniffed and strayed off.<br /><br />My guess is that the smell or flavor is not the kind she likes. In addition to that my other 5 cats won't eat it either. I gave it 3 stars because the ingredients seem good enough, though my cats don't like it and won't eat it.",Neutral
71112,B002PI82P0,1,Piece of Junk---Not worth the Shipping to find out for yourself,"Very poor quality construction. I had to push in the control panel when I go it. Plastic, cheap and won't last long. I had it 24 hours before I went through all the trouble of trying to package it back up and shipping it back to Amazon.<br /><br />Save yourself the $25 in shipping fees and find another Automatic Espresso Machine.<br /><br />Clearman",Negativo
71148,B002PI82P0,5,Great espresso!,"This machine makes great espresso! Very easy to use and once you regulate the grind to your preferance, it's an easy push of a button and you get to enjoy a great coffee! I highly recommend this product.",Positivo
71299,B007RTR9E2,1,Not Best Choice for Sensitive Skin,"Attractive bottle, smells nice, thick enough (like thick lotion, I can stick my finger in the bottle, get a big glop on my finger and it stays there when I hold it upside down, so I did not experience it being runny at all.<br /><br />My main issue is a concern over the high alcohol content (Cetearyl Alcohol being #2 after water on ingredient list). Alcohol is too drying for my thin and super curly hair. I tried it out, anyway and found that is seemed to strip out some possible oil buildup I had from using natural products (including real shea butter).<br /><br />Update:<br />Had to downgrade my reviews for this line when the skin on my arms and neck started breaking out after accumulated exposure-washing my daughter's hair in the sink in addition to using other products from same line on myself that day. Not the best choice for sensitive skin.<br /><br />*Found a ""silver lining:""<br /><br />When scalp became extremely dry as a result, with dandruff ""raining down"" to the touch, I did an internet search. I found that VINEGAR is an excellent conditioner. I used 1/2 vinegar/water-amazing results! My scalp calmed down and my hair seems to have recovered-now soft to the touch instead of brittle.",Negativo
71305,B007RTR9E2,2,Not for me,"I have tried a few different Clear shampoos and conditioners and so far, I have not liked any of them particularly well. This one is no different.<br /><br />While the scent is nice - it smells like shea butter of course - it just doesn't perform well for me. I need to use a whole lot of it to get any kind of good detangling and softening/conditioning. After I shampoo, I add conditioner, comb it through with a wide tooth comb and then put my hair up in a clip with the conditioner still in my hair, while I wash my body. So, conditioner always sits in my hair for a good 5 minutes or so. With this conditioner, I felt like I had to use so many heaping piles of it to get just a tad bit of detangling action. Once I rinse it out, it almost feels like I never even used conditioner. Most of the time I use my other conditioner (Infusium23 or Redken Extreme) after rinsing this Clear one out. If not, I use a leave in because my hair just doesn't feel moisturized or soft enough after using the Clear. My hair is not particularly rough or damaged, so I shouldn't really need to use so much. I definitely don't need to use as much when using my regular brands.<br /><br />It does smell good and rinse well, but there are no benefits to using it. It also does not seem to coat or weigh my hair down, but again no other benefits. I need a conditioner to help me detangle and soften my hair - things a conditioner typically does - this one just doesn't do any of that for me.",Negativo
71306,B007RTR9E2,3,Lotion or Conditioner?,"I used this conditioner along with the matching shampoo<a href=""http://www.amazon.com/gp/product/B007RTR9FQ"">CLEAR SCALP & HAIR BEAUTY Ultra Shea Cleanse & Nourish Shampoo, 12.9 Fluid Ounce</a>for a 2-week period in order to give it time to ""work"". It is a light conditioner (feels more like lotion), and leaves my hair feeling heavy and drab. I am giving it 3 stars because I think it has potential of working on a different kind of hair (I have very fine, straight hair), and it has a non-offensive scent.",Neutral
71333,B007RTR9E2,4,Hydrates,"My hair is dry, so finding a hydrating shampoo and conditioner is important.  This conditioner really does moisturize my hair and leaves it feeling soft and smooth.  The shea butter scent is pretty strong and lingers for more than a day.  So if you like the smell of shea butter and are looking for a hydrating conditioner, I recommend this one.",Positivo
71424,B001EQ5JPA,1,The new ones taste like seaweed,"Planters has recently (3/2009) switched to ""Sea Salt"" and touts this as an improvement. I've bought and loved their cashews for years, but the last couple of cans were so awful tasting and smelly, that I have dropped them from my shopping list. They taste like sea weed. Nasty! Planters, have you lost your minds? The old ones were 5 star rated for years. I would give them less than one now, but that was the lowest I could pick.",Negativo
71476,B004F1LNDI,5,Energy waffle,These are great for a mobile breakfast or to throw in a gym bag for quick<br />after workout snack and they taste great.,Positivo
71498,B001EQ5PU4,3,not my cup of tea,"The strength of this tea is OK, but it's not quite the English Breakfast taste I'm looking for. That may be because, unlike other English Breakfast blends I'm used to, this one is make entirely from teas from East Africa---no Assam tea is included. Furthermore, as others have mentioned, the tea is a fine-grained powder, definitely not full leaves.",Neutral
71698,B007RTR8AM,3,Fine shampoo for the $; not a huge difference in my hair,"I received a bottle of the Clear Scalp and Hair Beauty Strong Lengths Nourishing Shampoo and have been using it exclusively for the past 3 weeks. I wash my fine, shoulder length hair almost every day; I've been trying to move to every other day, as it's better for your hair.<br /><br />Second on the ingredient list is Sodium Laureth Sulfate, which may have less chemical impact than the similar sodium lauryl sulfate (SLS), but is still an allergen for many people, and could be why some reviewers are noting hair loss with use of this product. Interestingly sodium chloride (salt) is one of the ingredients. Most shampoos don't have added salt, so I thought it was a curious addition.<br /><br />I did not notice any strengthening properties. It actually seemed like my ends might be slightly drier than normal (nothing a little shine serum couldn't fix). My hair felt very clean the first week, but my scalp has started to become oilier than usual (sometimes at the end of the day, my scalp looks like I haven't shampooed for two days).<br /><br />In terms of chemicals, this shampoo is too new to be included in the Environmental Working Group cosmetic database, but the biggest issues are the fragrance (parfum) and the DMDM Hydantoin. Other chemicals that would score as moderate (4-5s) include the sodium lauryl sulfate, Zinc Pyrithione, Laureth-23 and Laureth-24. Poloxamer 407 is slightly lower risk, but has some bioaccumulation concerns.<br /><br />Overall, it didn't seem terribly effective at giving me stronger hair. But it's not the worst chemical load of ""conventional"" shampoos, and it's a decent price. I would consider purchasing it but it would not be my first choice of shampoos.",Neutral
71727,B007RTR8AM,3,The Nose Knows,"Certain fragrances put my sinuses in a spin the minute my nose invites them in. That's just what happened the moment I smelled this shampoo.  If you happen to be sensitive to odors, I doubt you'll want Clear Scalp.  I don't know what the chemical is that bothers me, but it's a synthetic throb of a smell that's become less common as fruiter scents entered the market.  It's hard to describe, but years ago, Clairol's after-coloring conditioner had it, as did Pantene.  (I sniffed the latter in the market today -- like Clairol, it no longer contains that odor.)<br /><br />To be fair to Clear Scalp, I'm an extreme overachiever when it comes to having a picky nose, but my encounter with this particular product ended with me popping a sinus pill and a couple aspirin after getting a dab of shampoo on my hand.  (I rinsed it off quickly but the odor clung to me for hours, faint but twinge-inducing if I got my hand near my face.)  Consequently, I didn't dare use it or the conditioner on my hair.  I'd have to give it one star.<br /><br />My husband, however gives it four stars, knocking one off because he doesn't love the fragrance. (He doesn't actively dislike it, but prefers coconutty scents.)  He loves what it does to his hair -- and I can see (and feel) why: his hair feels silky and thicker because the shampoo (and conditioner) give it more body.  It looks good.<br /><br />As for the odor, he there wasn't a trace of scent left tonight, nor are my sinuses bothered when I sniff his hair.<br /><br />The shampoo definitely does nice things to your hair, but I'd suggest a test-sniff before purchasing.",Neutral
71752,B001CX3QOG,1,14 cans arrived damaged,"14 out of 24 cans arrived dented, due to inadequate packaging (boxes were shrink wrapped to a cardboard tray and then thrown in a shipping box with a small amount of butcher paper).  Dense material like canned goods should be surrounded with packing peanuts in order to arrive undamaged.  Needless to say, I will not order canned goods again through Amazon.<br /><br />This is not the end of the story.  Amazon's standard policy on damaged food is 10%, or 20% maximum discount.  In this case, 58.3% of the food  arrived damaged--and no way was I going to pay for what I won't use.  After 1/2 hour on the phone, the customer service manager granted me an ""exception"" and allowed a refund of 58.3% of my purchase price.  But I should not have had to waste so much of my time insisting on it.<br /><br />That said, Harmony Farms dog food itself is a great product.  The reason I'm willing to pay almost $2 per can is that it's made in the USA (no danger of melamine, etc.).  So there you have it.  Good product, but you'll probably be happier if you find a place to buy it locally.",Negativo
71787,B007RTR8AC,5,Fabulous Shampoo,"The name says it all- Clear Scalp and Hair  - leaves your hair clear of all products used since the last shampoo! Volumizing - not only does it build up your hair at its roots, but also gives it volume to the end of your hair. Nourishing - if your hair tends to be dry - you will want to try this shampoo! My hair has never looked so good nor has it ever been this easy to manage!",Positivo
71794,B007RTR8AC,2,"Not ""Clear"" Enough","The selling point of this shampoo is that it doesn't contain parabens so, theoretically, the target market for these is the health-conscious.  As such, I think this falls rather short of the mark.<br /><br />The consistency of the shampoo is all right; it's a bit thin so it's easy to spill at first.  Once you get used to it, though, it's fine.  It lathers well, and it does the job.<br /><br />However, it has a horrendously strong perfumey chemical fragrance.  We find this fragrance truly awful (and overpowering), and it completely undermines any concept of ""clear"" or ""pure"" or ""less unhealthy"" in our minds.<br /><br />We'll take a pass on this one and stick with something less obviously scented.",Negativo
71810,B007RTR8AC,3,Good Shampoo - Not Spectacular Specialty,"A couple of months ago I started using the Clear brand shampoos. I began with the ""Strong Lengths"" shampoo and conditioner, and my primary complaint was that it seemed to rob what little volume my hair had. So, I was excited to try the ""Volumizing Root Boost.""<br /><br />I will say that I did see an increase in volume. But, my hair is very fine and I just got it cut pretty short. So, if I didn't see an increase in volume to some extent with this shampoo, I'd call it a flop. The problem I have is that my hair is now more fly-away and less sleek and shiny than it was with ""Strong Lengths.""<br /><br />Here are my primary observations:<br />1. My hair has appeared much healthier (and I have received comments from others to that effect) since I switched to Clear shampoos. That includes both product sets that I have tried.<br />2. I would love to have tried the volume boost shampoo and conditioner set before I got my hair cut, but with short hair I'm not sure this would be my first choice. As much as I hate to use other products for volume, I think that might be the better solution for me.<br />3. I have not tried using this shampoo with one of the other conditioner options, although I did try the volume boost conditioner with the strengthening shampoo. I don't know that I saw much of a difference mixing those two.<br /><br />So, bottom line - I still really like the Clear brand, and I don't dislike this particular product from the brand. I'm happy to have it and use it, but I'm not sure I'd go out of my way, with my hair cut and type, to purchase this product over other Clear products.",Neutral
71813,B007RTR8AC,3,"Not bad, but not for colored hair","The shampoo arrived wrapped in plastic wrapping inside a padded envelope. I didn't have any leakage, but I did pick up a strong scent inside the package, but fortunately it isn't that strong when using the product (strong scents and I do not get along well). The shampoo has a very thick consistency and you don't need much to work up a lather. I've used it about four times now, and while I'm seeing a bit more *bounce* to my very fine hair, I suspect I'd have to use it for a longer period of time to see if there's any improvement to encouraging any growth at the scalp. And therein lies the rub - I don't think this is color safe. I'm at the end of my color cycle and due for a retouch any day now, so a bit more fading wasn't a huge issue, but if I'd just had it done and got that much fading I'd be a seriously unhappy camper. Not great, but not bad either IMHO.",Neutral
71849,B0018CFRX4,1,Not worth the price,The price of this cat food is far above the value.  Fifty percent ot my cats did not like it.,Negativo
71945,B001LQTEF4,3,Like ginger gumdrops.  Tasty but boring.,"I like my crystallized ginger in the form of natural looking slices that are big and sort of chewy.  These are perfect little uniform cubical pieces that are more like ginger gumdrops than anything else.  It was impossible to tell that from the package illustration, so I'm rather disappointed, especially because crystallized ginger can be had for way less money.<br /><br />They are tasty, however.  This is a high quality product, just not in the form that I like best.",Neutral
